"country","nr"
"1","afg",18
"2","ago",40
"3","alb",40
"4","and",50
"5","are",45
"6","arg",60
"7","arm",30
"8","atg",43
"9","aus",60
"10","aut",60
"11","aze",30
"12","bdi",60
"13","bel",60
"14","ben",60
"15","bfa",60
"16","bgd",60
"17","bgr",40
"18","bhr",40
"19","bhs",60
"20","bih",26
"21","blr",30
"22","blz",60
"23","bol",60
"24","bra",60
"25","brb",46
"26","brn",46
"27","btn",40
"28","bwa",60
"29","caf",60
"30","can",23
"31","che",40
"32","chl",60
"33","chn",60
"34","civ",60
"35","cmr",60
"36","cod",60
"37","cog",60
"38","col",60
"39","com",40
"40","cpv",40
"41","cri",60
"42","cub",50
"43","cyp",45
"44","cze",30
"45","deu",50
"46","dji",1
"47","dma",43
"48","dnk",60
"49","dom",60
"50","dza",60
"51","ecu",60
"52","egy",60
"53","eri",20
"54","esp",60
"55","est",25
"56","eth",39
"57","fin",60
"58","fji",60
"59","fra",60
"60","fsm",34
"61","gab",60
"62","gbr",60
"63","geo",55
"64","gha",60
"65","gin",34
"66","gmb",54
"67","gnb",50
"68","gnq",40
"69","grc",60
"70","grd",43
"71","gtm",60
"72","guy",60
"73","hkg",59
"74","hnd",60
"75","hrv",25
"76","hti",60
"77","hun",29
"78","idn",60
"79","ind",60
"80","irl",50
"81","irn",60
"82","irq",52
"83","isl",25
"84","isr",25
"85","ita",60
"86","jam",54
"87","jor",44
"88","jpn",60
"89","kaz",30
"90","ken",60
"91","kgz",34
"92","khm",27
"93","kir",50
"94","kna",43
"95","kor",60
"96","kwt",25
"97","lao",36
"98","lbn",32
"99","lbr",20
"100","lby",21
"101","lca",43
"102","lka",59
"103","lso",60
"104","ltu",25
"105","lux",60
"106","lva",25
"107","mar",54
"108","mco",50
"109","mda",25
"110","mdg",60
"111","mdv",25
"112","mex",60
"113","mhl",39
"114","mkd",30
"115","mli",53
"116","mlt",50
"117","mmr",60
"118","mne",23
"119","mng",39
"120","moz",40
"121","mrt",59
"122","mus",44
"123","mwi",60
"124","mys",60
"125","nam",40
"126","ner",60
"127","nga",60
"128","nic",60
"129","nld",60
"130","nor",60
"131","npl",60
"132","nru",16
"133","nzl",43
"134","omn",55
"135","pak",60
"136","pan",60
"137","per",60
"138","phl",60
"139","plw",20
"140","png",60
"141","pol",30
"142","prt",60
"143","pry",60
"144","pse",26
"145","qat",20
"146","rou",30
"147","rus",31
"148","rwa",60
"149","sau",52
"150","sdn",60
"151","sen",60
"152","sgp",60
"153","slb",40
"154","sle",60
"155","slv",55
"156","smr",23
"157","srb",25
"158","ssd",8
"159","stp",19
"160","sur",60
"161","svk",28
"162","svn",25
"163","swe",60
"164","swz",50
"165","syc",60
"166","tcd",60
"167","tgo",60
"168","tha",60
"169","tjk",35
"170","tkm",33
"171","tls",20
"172","ton",39
"173","tto",60
"174","tun",55
"175","tur",60
"176","tuv",30
"177","tza",32
"178","uga",38
"179","ukr",33
"180","ury",60
"181","usa",60
"182","uzb",33
"183","vct",60
"184","ven",55
"185","vnm",36
"186","vut",41
"187","wsm",38
"188","yem",29
"189","zaf",60
"190","zmb",60
"191","zwe",60
